Uploaded Date/Time,User Name,Ad Name,Ad Description,Frame Size,Condition,Number of Gears,Material of the Frame,Brand,Ad ID,Location,Page Number,Link
"17 okt. '24, 19:46",Van Ekeris Tweewielers,40% Korting Nieuwe Specialized Diverge E5 Expert EVO,"Te koop aangeboden: Deze prachtige gloednieuwe Specialized diverge E5 Expert in de kleur Pine green. De fiets word geleverd inclusief factuur en kan worden opgehaald of thuisbezorgd worden in overleg.
 Wij zijn gestopt met ons Specialized dealerschap, vandaar dat we de fietsen verkopen met hoge kortingen 
 Groepset: Sram Rival GX 1 x 12
Remset: Sram level TLM 
Framemaat: Medium
Banden: Rhombus Pro 42MM
Seatdropper
Framemateriaal: Aluminium
 Om deze fiets te bekijken kunt u vooraf bellen naar 030-6875222 of u kunt langskomen van Maandag t/m Zaterdag 09:00 tot 17:00
   ",,Nieuw,,,,Advertentie a1506842071,,1,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-racefietsen/a1506842071-40-korting-nieuwe-specialized-diverge-e5-expert-evo?c=c3c3a3fd9c3e4c9081be58a8ffe91384&casData=Hp-DIwLAXddX8PuM1u-29-hp2y9LafEfO0SWeWxvSG0drfsLiKGXe4aMPt12legGSGyUxk-EwVrIEuYu6BtVp9PX_qCLUAymp0JupHwvct_0HGmj_kyLWcFxGOXypijjyx9__CHRoXzBePps9w9jRe3bKGwlXflSvac2pvlynoboNIoedTBoWqCdgw9kZsFSyimMCagh7IyyLi0xjXbERDVilmy2M6OMI2_bEf19iMqOalAOZY7UgVvRyUYLvOalMmRB9T_4EWwY2UsS9l54ReNrKeXRVtsQJBvab2ney-o-gsh8m6BqlL1cWMHb3J3m0NGjXtscy65XIwFwT1O6m2liS1zq3UKtqqP228ZWYw7Atb5xB8J9bRHx-veJ1jsz52GaerSbZmJu2fPYJCBdasxrJ7sWCvWFI0atkHPMbaTS2M7Rdk0-BRiEs-f13RsG9Oj0QoMPPqki8mhPV3L7LMV4l52XODhajU7497BGp1egn8HxQ2RY7PgiBUP7T6Un7jqr6i28R_AIYU38e_rAOFq_IkpDEUshOS14xsAHTzQ
"17 okt. '24, 19:53",Van Ekeris Tweewielers,40% Korting nieuwe Specialized Tarmac SL7 Ultegra DI2,"Te koop aangeboden: Deze prachtige gloednieuwe Specialized Tarmac SL7 in een custom gespoten kleur. De fiets word geleverd inclusief factuur en kan worden opgehaald of thuisbezorgd worden in overleg.
 Wij zijn gestopt met ons Specialized dealerschap, vandaar dat we de fietsen verkopen met hoge kortingen 
 Groepset: Ultegra DI2 2 x 12 
Wielen: Roval Rapide CLX
Framemaat: 56CM 
Banden: Specialized Turbo 28mm
Stuurpen: Roval 100MM
Framemateriaal: Carbon
 Om deze fiets te bekijken kunt u vooraf bellen naar 030-6875222 of u kunt langskomen van Maandag t/m Zaterdag 09:00 tot 17:00
 ",,Nieuw,,,,Advertentie a1506842788,,1,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-racefietsen/a1506842788-40-korting-nieuwe-specialized-tarmac-sl7-ultegra-di2?c=c3c3a3fd9c3e4c9081be58a8ffe91384&casData=CAbns6Pu29XDzoeV76YhQ8aIgOqsWwTlTNO0kh_-T8TWOcsAgvZ6dACG4OzJ6SiKeyiMJWVNrtqB62jYo4Ez_yNJRVCr_j88OySx4MIUC0lwXuLSKZBI1_Yv1DBuY3HLwfymU1n4ufWJLT0VLpOLQLqPPNu32JAVx3z5JVsA2GUpDWx6ZHI9Th4rOEd0rJSTCGhZ6zLS1RZ50lCPKuOLWoxvbxeg0aH8HtBY4QaJ9a83eUk_R3g03vjabjAD3qDn54Ybj_xCICigejVbmdCEg6gXisNOMO2H8ZfwR9gQO0UZWn0XDZIbOL3gIW75_PLK-qZpzfpmEc_l4D0ymkPD142apQCWuy31rmbfuKDoqIvlXwTokKzMGonjrSEahXi4mOYcMbSiQFgKrs3AiH6poodiiJDS8mW4aGc9SXtJauxI5SPvBrcc-Z2z2bt0JoiHWpe0-wO7rVNWMBPSlM5yu4yrdXcnY0TQrAfz8j0bz8a1Y7D3e0XthwYmyBU-DcS4y1fVxwPCfQehm0ItOkB1TvDJTD3GJsLcFiIRM8sJQHw
"11 jun. '24, 20:28",Rijwiel Cash & Carry,Revolt Advanced 1 2023 3599 voor 2699 Gravelbike L en XL,"Revolt Advanced 1 2023 Cordovan van € 3599,- voor € 2699,-

Maten:  L en XL
Advanced-Grade Composite
Giant Contact XR D-Fuse stuur
SRAM Rival 1 hydraulic remmen
SRAM Rival 1 11 speed
Giant P-X2 Disc wheelset, alloy
Heeft u vragen? Neem dan contact op.


Rijwiel Cash en Carry
Tongelresestraat 250
5613DV Eindhoven
06-42969550",,Nieuw,versnellingen 10 tot 15 versnellingen,Carbon,Giant,Advertentie a1502572486,Eindhoven,1,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-racefietsen/a1502572486-revolt-advanced-1-2023-3599-voor-2699-gravelbike-l-en-xl?c=c3c3a3fd9c3e4c9081be58a8ffe91384&casData=U9EfV5cRO1wwFHi42so_X2CU94Fgxo1jrqkUUg3qaFJDvgtL9TlGEZ6JO18oAVLXZ-M-nK9vdOCp-SZJIgYbY12jGHsNbSbWOxs-nPskjLngZdMJ5-WLspFQPHYfcWh85KRIt_NqSQcjSWHMOZm7saXvU3voWiZXfW62XC2MHqS4JEAXLp1ixvCB4fIE6obO8dpigTdypO3FdH_H0B1QUhiLd4oY7xyK_FZATyIbTgnyYtYldORJOK0MoDD4qkCGIHvE1EGIVgQpgbGRsEgnMVfobIhSQoEbGuZCKh-S6wPUC0VzypeYkr9GVPsfHVQDfZ7zXRjDTOvrvT9uH2y_ehqXNK63qMgjyUts3tEzxjaL900vEBN4rhw2Kd4bjvbVU2ScVx187w8zPmIK1vsgT5FEZi_IkrcLE5L76K2HSED1jYAKosNq6ImbDQzjrcVFnQ9AeyYKIYGQyKSyWXZCfvI3ToyDK1NF5Qcvibki1HnJD0kAH_w75IhFUhgoG7MRXU_rNd7-CBAFfbD_D1bUm9GcnYaPOoM4IIe4KFcVVRE
"17 mei. '24, 14:21",Vos Fietsen,Pinarello 2024 OPRUIMING laagste prijs garantie van nederlan,"Pinarello Brandstore daar vind u de grootste keus van de nieuwste pinarello fietsen van nederland wij zijn dealer dus 100 procent garantie en service dus 100 procent zekerheid
Pinarello Dogma F Dura-Ace Di2
Frame: TorayCa T1100 1K Dream Carbon Asymmetric
Voorvork: Onda Carbon T1100
Groepset: Shimano Dura-Ace Disc Di2 12s / Campagnolo SuperRecord EPS 12s
Wielset: Fulcrum Racing Wind 400 Carbon / Scope S4 Carbon
Banden: Pirelli P Zero Race
Zadelpen: Pinarello Aero
Stuur: Most Talon Ultra Light
Stuurpen: Most Talon Ultra Light
Gewicht: *
Bel of mail voor de beschikbare maten
Adviesprijs: €16100,- NU 9000,- ook leverbaar met campagnolo super record EPS van 17100- nu 10.000-
Pinarello Dogma X Dura-Ace Di2
Frame: TorayCa T1100 1K Dream Carbon Asymmetric
Voorvork: Onda Carbon T1100
Groepset: Shimano Dura-Ace Disc Di2 12s
Wielset: PRINCETON GRIT 4540
Banden: Pirelli P Zero Race
Zadelpen: Pinarello Aero
Stuur: Most Talon Ultra Light
Stuurpen: Most Talon Ultra Light
Gewicht: *
Bel of mail voor de beschikbare maten
Adviesprijs: €16100,- NU € 9000,-
Pinarello F7 Shimano Ultegra Di2
Frame: Carbon T900 UD Asymmetric
Voorvork: Onda Carbon
Groepset: Shimano Ultegra Disc Di2 12s
Wielset: MOST Ultrafast 40
Banden: Pirelli P Zero
Zadelpen: Pinarello Aero
Stuur: Most Talon Ultra Light
Stuurpen: Most Talon Ultra Light
Gewicht: *
Bel of mail voor de beschikbare maten
Adviesprijs: €9990,- NU €7500,-
Pinarello F5 Shimano 105 Di2
Frame: Carbon T700 UD Asymmetric
Voorvork: Onda Carbon
Groepset: Shimano 105 Disc Di2 12s
Wielset: Fulcrum Racing 800
Banden: Pirelli P Zero
Zadelpen: Pinarello Aero
Stuur: Jaguar XA Aero TiCR
Stuurpen: Jaguar XA Aero TiCR
Gewicht: *
Bel of mail voor de beschikbare maten
Adviesprijs: €6490,- NU €4865,-
Pinarello X3 Shimano 105 Di2
Frame: Carbon T600 UD Asymmetric
Voorvork: Onda Carbon
Groepset: Shimano 105 Disc Di2 12s
Wielset: Fulcrum Racing 800
Banden: Pirelli P Zero
Zadelpen: Pinarello Aero
Stuur: Jaguar XA Aero TiCR
Stuurpen: Jaguar XA Aero TiCR
Gewicht: *
Bel of mail voor de beschikbare maten
Adviesprijs: €6190,- NU €4865,-
Pinarello X1 Shimano 105
Frame: Carbon T600 UD Asymmetric
Voorvork: Onda Carbon
Groepset: Shimano 105 Disc 11s
Wielset: Shimano RS Disc
Banden: Pirelli P Zero
Zadelpen: Pinarello Aero
Stuur: Jaguar XA Aero TiCR
Stuurpen: Jaguar XA Aero TiCR
Gewicht: *
Bel of mail voor de beschikbare maten
Adviesprijs: €4290,- NU €3215,-
Pinarello Brandstore
Zwanenburgerdijk 297
1161NM Zwanenburg
020-4970102
Openingstijden:
Dinsdag 10:00 tot 18:00
Woensdag 10:00 tot 18:00
Donderdag 10:00 tot 18:00
Vrijdag 10:00 tot 18:00 
Zaterdag 10:00 tot 17:30
Bij ons vindt u het meest diverse en grootste aanbod Pinarello racefietsen in Nederland, en bijna alles op voorraad.",,Nieuw,,,,Advertentie a1501802268,,1,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-racefietsen/a1501802268-pinarello-2024-opruiming-laagste-prijs-garantie-van-nederlan?c=c3c3a3fd9c3e4c9081be58a8ffe91384&casData=blVpTc-y0gLW3R8pVQInYHeZHqYVkZvgk0ty0w1HmPy7Ukk1KvA98O2sATdG6j3UFxI_nxFbqyeqvosTs-PQGCKAUepiTB2DyS87XKqdI8u83IBqGeyLuOUh-mawK6Y1SGKIBVGezj8ZrFE0dn28Hr46beJz1_ScLJkcO3TlIceDMP7JzgNC2elY5z9h3fdkGPcMMdhQRT2efxXSTWffVh0uH5PBewwmKgbdchC3jgNrz-CEQAB4k71rDM9619yp6SaYLP2Ag20T-caJc9gFdSqaUfXDi4bT2r022rd55bSe1E-_5FDXFR-pGeseWGavrjU5Tox1jWTucF2CJi2r-EHh2dSnMZC4CWCnt-9PWvGUvV2F0vuaWmnKvhEwiHJJNCFWWnnzW9TIGi-1ty0srktqE2IoTbR40cYc6OVVOpMOscmmcF3K_eX6HIR2XYSqYU8tSDx7AwL5rZNEwER7ssOAHDpmbQjYk8OkGoIDHBP80AQNbWx-2vBaXzLBdol1WhUaki2_eDeUusTW1CmWTONgBeb-R61ZdB72x0gZx6E
"24 aug. '24, 17:51",Vos Fietsen,Sensa Giulia Supremo Red On Black LTD Ultegra Disc Di2 2x12s,"Sensa Giulia Supremo van 6297- nu 4099- Ultegra Disc Di2 2x12s incl carbon stuur en carbon wielset
Laatste Winkelvoorraad NU MET €2198,- ECHTE KORTING!
Frame: Generation 5 Full Carbon - EPS Moulding - CFD Optimized
Voorvork: Supra Full Carbon Monocoque - AIRflow 2
Groepset: Full Shimano Ultegra Di2 Disc R8170 2x12
Wielset: Supra RFC Carbon 35mm of 50mm
Banden: Vittoria Rubino Folding 28mm
Zadelpen: Supra Race Line Carbon Evo
Stuur: Supra Carbon Cockpit
Stuurpen: Supra Carbon Cockpit
Gewicht: Depends on configuration - frame 1025g & fork 335g
Beschikbare maten: Bel of mail voor de beschikbare maten!
Adviesprijs: €6297,- NU €4099,-
Inclusief Carbon Cockpit & Carbon Wielset 35mm of 50mm!
Vosfietsen Zwanenburg
Zwanenburgerdijk 297
1161NM Zwanenburg
020-4970102
Openingstijden:
Dinsdag 10:00 tot 18:00
Woensdag 10:00 tot 18:00
Donderdag 10:00 tot 18:00
Vrijdag 10:00 tot 18:00 
Zaterdag 10:00 tot 17:30
Bij ons vindt u het meest diverse en grootste aanbod racefietsen in Nederland, en bijna alles op voorraad.
 ",,Nieuw,,,,Advertentie a1504828484,,1,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-racefietsen/a1504828484-sensa-giulia-supremo-red-on-black-ltd-ultegra-disc-di2-2x12s?c=c3c3a3fd9c3e4c9081be58a8ffe91384&casData=iOLaS88d82a-O7M85PnpNi3yYPqojbtALozwywh0fQzd1j1PPOQWsJ1238YGXP8vKVZyQyPx5cqQZPQoggX_XOBrLLPC39Lm-p8mcBfCYNn2bhJGlHp1bB4yS0QSRWk8_ed4e1xrqI7N5aFiIi67RLUfSmhsTdq1pMshZIYo9cURyr0nsr8lj7MQi8Oqnfq6WMejmc4QS32ZRT_-Og8LE-2NrkEsxqq1ugl8XgXJ9D_WiVvkfMJ4Mw94dk-gfhvFJ2ed_Asybqzt52YVqzKPuOuFEXyTTLq_HhXKJ3mgujWv1wcDCYkVs2r6dVhsZ-KrlwmQsSLZDiXaMKE9BZYr7ROaTW3WgN42XsgDhdzoeRfE2OHvnmtloTADX5hoLdDMlVu-d2aIlbR1A0sJyA3qpAsDNkAmSaz-Pe8oC2DdXOTbVtSAqitTc90W7CiCcSu4ee4scqD55A6yIgK6yp9eVoosUKBRocGL-_NgUrv7zlD7Uxj-TTL7anIyIiNVrEjiTqLOTLkrOvAd9IMB3_kzxCSUhJygLN8BPoWuhiJiUzY
"10 nov. '24, 20:50",Marc,MMR Adrenaline SL maat XL,"Deze high-end MMR racefiets, afgemonteerd met SRAM Force, mag nu weg tegen ieder aannemelijk bod. Oorspronkelijk ingezet als testfiets, maar door omstandigheden in een hoekje komen te staan en wat in de vergetelheid geraakt.

Kenmerken:
• Merk: MMR (Spaans topmerk)
• Groepset: SRAM Force
• Staat: Slechts beperkt gebruikt tijdens tests, dus praktisch als nieuw

Mag weg tegen elk aannemelijk bod!!",57 tot 61 cm,Zo goed als nieuw,versnellingen Meer dan 20 versnellingen,Carbon,Overige merken,Advertentie m2199258956,Utrecht,1,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-racefietsen/m2199258956-mmr-adrenaline-sl-maat-xl
"13 okt. '24, 18:14",Archie,"Canyon Grail:On CF7 AXS 2023, Maat XS Electric Gravel Fiets","Bike is as good as new, barely have been ridden. battery can hold charge to cover 100km + in eco mode. and the range goes down to 45 km in turbo mode. The bike has a new speedbox installed after market which allows to switch in between 25 and 35 km/h speed limits.

The best reason for choosing the CF 7 is that it’s just a huge amount of fun to ride.

Any bike that puts a smile on your face the moment you get on board and has the potential to keep you smiling all day is a winner in my book, and I wholeheartedly recommend this Grail:ON.",,Zo goed als nieuw,versnellingen Minder dan 10 versnellingen,Carbon,Overige merken,Advertentie m2177574287,Amsterdam,1,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-racefietsen/m2177574287-canyon-grail-on-cf7-axs-2023-maat-xs-electric-gravel-fiets
"7 nov. '24, 17:33",Bakker,SCOTT ADICT 20 DISC/ MAAT: L,"· In zeer goede staat
· Shimano Ultergra 11 Speed
· Wielset: Scope S4 banden Conti 5000
· Maat: 56 cm
· Kleur: Prim Green
· 19 maanden oud, aankoopbon aanwezig
· Stel Shimano WH-RS 171 traningswielen Conti 5000 banden
· Bladen: 50/39, Pion 11 speed: 12-25 Crank: 172,5
· Pedalen Shimano Ultegra
· Zadel Selle Italia Max of Selle Italia SLR
· Plat Syncros stuur",,Zo goed als nieuw,versnellingen Meer dan 20 versnellingen,Carbon,Overige merken,Advertentie m2196726218,,1,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-racefietsen/m2196726218-scott-adict-20-disc-maat-l
"10 nov. '24, 17:12",narkan,"Cortina,Gazelle,Sparta,Batavus","Kies een kleur die bij je past , Racefietsen, Stadsfietsen, Moederfiets, oma fiets , kinderen ( 10+) jongens Meisjes.
Je kiest er 1 uit , ik maak het in orde , Extra Korting voor Studenten, Extra Korting Alleenstaande moeders , Gratis voor Wees kinderen , heb je weinig inkomen je hebt vervoer nodig kom naar mij toe en fixed voor je , ik heb fietsen staan voor € 35 duurste fiets kost  € 120 Giant van Aluminium 27 versnellingen , de rest is gemiddeld € 60 tot 80 euro met Garantie ( Utrecht waar wacht je op ? ) neem je ouwe fiets mee  !! Pak een betere fiets mee , waar alles is gedaan.",Minder dan 49 cm,Zo goed als nieuw,versnellingen Meer dan 20 versnellingen,Aluminium,Gazelle,Advertentie m2198982674,,1,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-racefietsen/m2198982674-cortina-gazelle-sparta-batavus
"9 nov. '24, 00:27",MaxD,Scope R5D Wielset (Nieuw / Z.G.A.N.),"Scope R5D Wielset. Achterwiel is nieuw (verkregen uit garantie) en ongebruikt, voorwiel is anderhalf jaar oud.

Disc Wielset, topmodel van Scope. Het gaat hier om het R5 model - 58mm hoog, 21mm intern en 28mm extern. Ideaal dus voor moderne banden. Shimano 11/12 speed body.

Wielset is tubeless ready, achterwiel zit tubeless ventiel al voor gemonteerd.

Gaan weg wegens overcompleet. Nieuwprijs 1500 euro, mogen weg voor een goed bod.",,Zo goed als nieuw,versnellingen Meer dan 20 versnellingen,Aluminium,Overige merken,Advertentie m2197755876,Utrecht,1,https://www.marktplaats.nl/v/fietsen-en-brommers/fietsen-racefietsen/m2197755876-scope-r5d-wielset-nieuw-z-g-a-n
